io_mode	dataset	read_mode	observed_md5	expected_md5	status
has1	ERR1203383	PE	dc5c0a6babd41641db22808caedb7a44	dc5c0a6babd41641db22808caedb7a44	PASS
has1	ERR1203383	SE	ecf7f98b8d9354dfde7b962fa8d2c0b7	ecf7f98b8d9354dfde7b962fa8d2c0b7	PASS
has1	small_SRR7963242	PE	215c1ee5deddbef3647d94b90e841834	215c1ee5deddbef3647d94b90e841834	PASS
has1	small_SRR7963242	SE	b2ea694f6a08a3424dece15f1b8e8114	b2ea694f6a08a3424dece15f1b8e8114	PASS
has1	SRR2496709	PE	b318cf90a083eafc9aa4c461bf023f90	b318cf90a083eafc9aa4c461bf023f90	PASS
has1	SRR2496709	SE	322fe0c60d0ca365389307c06a21d77a	322fe0c60d0ca365389307c06a21d77a	PASS
no1	ERR1203383	PE	dc5c0a6babd41641db22808caedb7a44	dc5c0a6babd41641db22808caedb7a44	PASS
no1	ERR1203383	SE	ecf7f98b8d9354dfde7b962fa8d2c0b7	ecf7f98b8d9354dfde7b962fa8d2c0b7	PASS
no1	small_SRR7963242	PE	215c1ee5deddbef3647d94b90e841834	215c1ee5deddbef3647d94b90e841834	PASS
no1	small_SRR7963242	SE	b2ea694f6a08a3424dece15f1b8e8114	b2ea694f6a08a3424dece15f1b8e8114	PASS
no1	SRR2496709	PE	b318cf90a083eafc9aa4c461bf023f90	b318cf90a083eafc9aa4c461bf023f90	PASS
no1	SRR2496709	SE	322fe0c60d0ca365389307c06a21d77a	322fe0c60d0ca365389307c06a21d77a	PASS
